#J matrix, N:20; Graph type: CompleteGraph, Pairing: random (+/-1), Frustration Rate: 0, Num[+1] = 190, Num[-1] = 190
0	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	1
-1	0	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	1	1	1
1	-1	0	1	1	-1	1	-1	1	-1	1	1	1	1	1	-1	1	-1	1	1
-1	1	1	0	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1
-1	-1	1	1	0	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1
1	-1	-1	-1	-1	0	1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	-1
-1	-1	1	1	1	1	0	-1	-1	-1	1	-1	-1	-1	1	-1	1	1	1	1
1	1	-1	-1	-1	-1	-1	0	1	-1	1	1	1	1	-1	1	1	-1	1	-1
1	-1	1	1	-1	1	-1	1	0	-1	-1	1	1	1	1	1	-1	1	-1	1
1	1	-1	-1	1	-1	-1	-1	-1	0	-1	1	-1	1	1	1	1	-1	-1	-1
1	1	1	1	1	1	1	1	-1	-1	0	1	1	-1	-1	-1	-1	-1	1	-1
1	-1	1	-1	-1	1	-1	1	1	1	1	0	1	-1	-1	1	1	-1	-1	1
-1	-1	1	-1	-1	1	-1	1	1	-1	1	1	0	1	-1	-1	1	-1	-1	1
-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	0	-1	1	-1	1	1	1
-1	-1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	-1	-1
1	-1	-1	-1	-1	1	-1	1	1	1	-1	1	-1	1	-1	0	-1	-1	1	-1
-1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	0	-1	1	1
1	1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	0	1	1
1	1	1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	0	-1
1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	1	1	-1	0
